id,name,owner,url,category,description_zh,description_en,install,ecosystems,kinds,stars,downloads,license,verified,added
ecc,ECC,affaan-m,https://github.com/affaan-m/ecc,dev,Agent Harness 性能优化系统：为 Claude Code、Codex、OpenCode、Cursor 等提供 Skills、直觉、记忆、安全与研究优先的开发方法。,"The agent harness performance optimization system: skills, instincts, memory, security and research-first development for Claude Code, Codex, OpenCode, Cursor and beyond.",git clone https://github.com/affaan-m/ecc（按 README 导入）,claude-code|codex|cursor,skill|skill|skill,244895,,MIT,false,2026-08-31
andrej-karpathy-skills,andrej-karpathy-skills,multica-ai,https://github.com/multica-ai/andrej-karpathy-skills,dev,一个改进 Claude Code 行为的 CLAUDE.md 配置，源自 Andrej Karpathy 对 LLM 编程常见坑的观察总结。,"A single CLAUDE.md file to improve Claude Code behavior, derived from Andrej Karpathy's observations on LLM coding pitfalls.",git clone https://github.com/multica-ai/andrej-karpathy-skills（复制 CLAUDE.md 使用）,claude-code,skill,209002,,,false,2026-08-31
yt-dlp,yt-dlp,yt-dlp,https://github.com/yt-dlp/yt-dlp,tools,功能强大的命令行音视频下载器，支持 B 站、抖音、YouTube 等数千个站点：格式选择、字幕、批量播放列表下载。,"A feature-rich command-line audio/video downloader supporting thousands of sites (Bilibili, Douyin, YouTube and more), with format selection, subtitles and batch playlists.",pip install -U yt-dlp（Windows 也可用官方 exe）,generic,other,188051,,Unlicense,true,2026-08-31
system-prompts-and-models-of-ai-tools,system-prompts-and-models-of-ai-tools,x1xhlol,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,docs,AI 编程工具系统提示词与模型速查大全：覆盖 Augment Code、Claude Code、Cursor、Devin AI、Kiro、Lovable、Manus、NotionAI、Replit 等数十款工具。,"Comprehensive collection of system prompts and model references for AI coding tools: Augment Code, Claude Code, Cursor, Devin AI, Kiro, Lovable, Manus, NotionAI, Replit and dozens more.",在线浏览 https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,generic,other,143254,,GPL-3.0,false,2026-08-31
ui-ux-pro-max-skill,ui-ux-pro-max-skill,nextlevelbuilder,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,skill,AI 设计智能 Skill：为跨平台构建专业 UI/UX 提供设计知识库（配色、字体、布局、图表等规则）。,An AI skill that provides design intelligence for building professional UI/UX across multiple platforms.,git clone https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,generic,skill,123336,,MIT,false,2026-08-31
graphify,graphify,Graphify-Labs,https://github.com/Graphify-Labs/graphify,memory,把任意代码库（含文档、SQL schema、配置与 PDF）变成可查询的知识图谱。面向 Claude Code、Cursor、Codex 与 Gemini CLI 的 /graphify Skill。,"Turn any codebase, with its docs, SQL schemas, configs and PDFs, into a queryable knowledge graph. A /graphify skill for Claude Code, Cursor, Codex and Gemini CLI.",git clone https://github.com/Graphify-Labs/graphify（按 README 导入）,claude-code|codex|gemini|cursor,skill|skill|skill|skill,112815,,Apache-2.0,false,2026-08-31
caveman,caveman,JuliusBrussee,https://github.com/JuliusBrussee/caveman,dev,多 token 不如少 token——让 Claude Code 用「原始人腔」说话，token 用量直降 65% 的 Skill。,Why use many token when few token do trick — a Claude Code skill that cuts 65% of tokens by talking like a caveman.,git clone https://github.com/JuliusBrussee/caveman（按 README 导入）,claude-code,skill,101952,,,false,2026-08-31
open-design,open-design,nexu-io,https://github.com/nexu-io/open-design,tools,面向 DeepSeek Harness 等 coding agent 的本地优先设计应用：让 agent 成为设计引擎——原型、落地页、看板、幻灯片、图片与视频，导出为真实文件（HTML/PDF/PPTX/MP4）。,"Local-first design app for DeepSeek Harness and other coding agents: your agent becomes the design engine — prototypes, landing pages, dashboards, slides, images and video as real files (HTML/PDF/PPTX/MP4 export).",按仓库 QUICKSTART.md 安装（独立桌面应用 + DSH 集成，非 dsh plugin add bundle）,dsh,other,92932,,Apache-2.0,false,2026-08-31
worldmonitor,worldmonitor,koala73,https://github.com/koala73/worldmonitor,tools,实时全球情报看板：AI 驱动的新闻聚合、地缘政治监控与基础设施追踪，统一态势感知界面（支持 MCP 接入）。,"Real-time global intelligence dashboard: AI-powered news aggregation, geopolitical monitoring and infrastructure tracking in a unified situational-awareness interface (supports MCP integration).",按 README 部署（应用本体；支持 MCP 接入）,mcp,other,85116,,AGPL-3.0,false,2026-08-31
trendradar,TrendRadar,sansan0,https://github.com/sansan0/trendradar,tools,AI 舆情与热点监控：多平台热点聚合 + RSS 订阅 + 关键词筛选 + AI 筛选/翻译/分析简报直推手机；支持接入 MCP，赋能自然语言对话分析与情感洞察。,"AI-driven public opinion and trend monitor with multi-platform hot-topic aggregation, RSS, smart alerts, AI news filtering/translation and analysis briefs; supports MCP integration for natural-language conversation and sentiment insight.",按 README 部署（应用本体；支持 MCP 接入）,mcp,other,61958,,GPL-3.0,false,2026-08-31
chrome-devtools-mcp,chrome-devtools-mcp,ChromeDevTools,https://github.com/ChromeDevTools/chrome-devtools-mcp,tools,面向 coding agent 的 Chrome DevTools：官方 MCP 服务，让任意 MCP 客户端调试、检查并自动化 Chrome。,"Chrome DevTools for coding agents: the official MCP server that lets any MCP client debug, inspect and automate Chrome.",npx chrome-devtools-mcp@latest,mcp,server,50246,,Apache-2.0,true,2026-08-31
agentic-awesome-skills,agentic-awesome-skills,sickn33,https://github.com/sickn33/agentic-awesome-skills,skill,"AAS Core：本地优先的 agent 控制面，提供完整目录发现、agent 自主选型、技能栈校验与规划，内置 2,005+ 个 agentic skills。","AAS Core: the local, agent-first control plane for complete catalog discovery, agent-owned selection, stack validation and planning, backed by 2,005+ agentic skills.",git clone https://github.com/sickn33/agentic-awesome-skills（按 README 使用）,codex|generic,skill|skill,45736,,MIT,false,2026-08-31
codebase-memory-mcp,codebase-memory-mcp,DeusData,https://github.com/DeusData/codebase-memory-mcp,tools,高性能代码智能 MCP 服务：把代码库索引为持久知识图谱（普通仓库毫秒级），支持 158 种语言、亚毫秒查询、节省 99% token，单静态二进制部署。,"High-performance code intelligence MCP server: indexes codebases into a persistent knowledge graph (average repo in milliseconds), 158 languages, sub-ms queries, 99% fewer tokens, single static binary.",从 Releases 下载对应平台二进制，按 README 配置 MCP 客户端,mcp,server,41392,,MIT,true,2026-08-31
scientific-agent-skills,scientific-agent-skills,K-Dense-AI,https://github.com/K-Dense-AI/scientific-agent-skills,skill,"把任意 AI agent 变成 AI 科学家：科学领域头号 Agent Skills 库，190,000+ 科研人员使用，含 165 个即用且经验证的 skills。","Turn any AI agent into an AI Scientist: the #1 Agent Skills library for science, used by 190,000+ scientists worldwide, with 165 ready-to-use validated skills.",git clone https://github.com/K-Dense-AI/scientific-agent-skills（按 README 导入）,codex|claude-code,skill|skill,40172,,MIT,false,2026-08-31
nature-skills,nature-skills,Yuan1z0825,https://github.com/Yuan1z0825/nature-skills,skill,符合 Nature 论文学术表达与科研绘图规范的 Skill。,Skills for Nature-style academic writing and scientific figure preparation.,git clone https://github.com/Yuan1z0825/nature-skills（按 README 导入）,codex|claude-code,skill|skill,38062,,Apache-2.0,false,2026-08-31
awesome-agent-skills,awesome-agent-skills,VoltAgent,https://github.com/VoltAgent/awesome-agent-skills,docs,精选 1000+ 个 agent skills 合集（官方团队 + 社区），兼容 Claude Code、Codex、Gemini CLI、Cursor 等。,"A curated collection of 1000+ agent skills from official dev teams and the community, compatible with Claude Code, Codex, Gemini CLI, Cursor and more.",在线浏览 https://github.com/VoltAgent/awesome-agent-skills,generic,registry,33433,,MIT,false,2026-08-31
anthropic-cybersecurity-skills,Anthropic-Cybersecurity-Skills,mukul975,https://github.com/mukul975/Anthropic-Cybersecurity-Skills,security,817 个面向 AI agent 的结构化网络安全 skills，映射 MITRE ATT&CK、NIST CSF 2.0、MITRE ATLAS、D3FEND、NIST AI RMF、MITRE F3 六大框架。,"817 structured cybersecurity skills for AI agents, mapped to 6 frameworks: MITRE ATT&CK, NIST CSF 2.0, MITRE ATLAS, D3FEND, NIST AI RMF and MITRE F3 (Fight Fraud).",git clone https://github.com/mukul975/Anthropic-Cybersecurity-Skills（按 README 导入）,codex|claude-code,skill|skill,31763,,Apache-2.0,false,2026-08-31
serena,serena,oraios,https://github.com/oraios/serena,dev,强大的编程 MCP 工具集：语义检索与编辑能力——给你的 agent 一个 IDE。,A powerful MCP toolkit for coding: semantic retrieval and editing capabilities — the IDE for your agent.,uvx --from git+https://github.com/oraios/serena serena start-mcp-server（按 README）,mcp,server,28677,,MIT,false,2026-08-31
distilly,distilly,titanwings,https://github.com/titanwings/distilly,workflow,Distilly：把人的工作方法蒸馏成可复用的 Skills，给任何 Agent 或 Bot 使用（原「同事 Skill」）。,Distilly: distill how people think into reusable Skills for any Agent or Bot (formerly Colleague Skill).,git clone https://github.com/titanwings/distilly（按 README 使用）,generic,skill,24194,,MIT,false,2026-08-31
